"id";"moto_similares";"caminhao_similares";"onibus_similares"
260302;"não";"sim";"não"
260303;"sim";"não";"não"
260304;"sim";"não";"não"
260305;"não";"não";"não"
260306;"não";"não";"não"
260307;"sim";"não";"não"
260308;"não";"não";"não"
260310;"sim";"não";"não"
260311;"sim";"não";"não"
260312;"não";"não";"sim"
260314;"não";"não";"não"
260315;"não";"não";"não"
260316;"não";"não";"não"
260318;"não";"não";"não"
260319;"não";"não";"não"
260322;"sim";"não";"não"
260323;"sim";"não";"não"
260324;"não";"não";"não"
260325;"sim";"não";"não"
260326;"sim";"não";"não"
260327;"sim";"não";"não"
260328;"não";"não";"não"
260329;"sim";"não";"não"
260330;"sim";"não";"não"
260331;"não";"não";"não"
260333;"sim";"não";"não"
260334;"sim";"não";"não"
260336;"não";"não";"não"
260337;"não";"não";"não"
260338;"sim";"não";"não"
260339;"não";"não";"não"
260340;"sim";"não";"não"
260341;"sim";"não";"não"
260342;"não";"sim";"não"
260343;"não";"não";"não"
260344;"não";"não";"não"
260345;"sim";"não";"não"
260346;"não";"não";"sim"
260348;"não";"não";"não"
260349;"não";"sim";"não"
260350;"não";"não";"não"
260351;"não";"não";"não"
260352;"sim";"não";"não"
260353;"não";"não";"não"
260354;"não";"não";"não"
260355;"não";"não";"não"
260356;"não";"sim";"não"
260357;"não";"sim";"não"
260358;"não";"não";"não"
260359;"sim";"não";"não"
260361;"não";"não";"não"
260362;"sim";"não";"não"
260364;"não";"não";"não"
260365;"não";"não";"não"
260366;"não";"não";"sim"
260368;"não";"não";"não"
260369;"não";"não";"não"
260370;"não";"não";"não"
260371;"não";"sim";"não"
260373;"sim";"não";"não"
260374;"não";"não";"não"
260375;"não";"sim";"não"
260376;"não";"sim";"não"
260377;"sim";"não";"não"
260378;"não";"não";"sim"
260379;"não";"não";"não"
260381;"não";"não";"não"
260382;"não";"não";"não"
260383;"não";"não";"não"
260384;"não";"não";"não"
260385;"não";"não";"não"
260387;"não";"não";"não"
260388;"não";"não";"não"
260389;"não";"sim";"sim"
260390;"sim";"não";"não"
260392;"não";"não";"não"
260393;"não";"não";"não"
260394;"não";"não";"não"
260395;"não";"não";"não"
260398;"não";"não";"não"
260399;"sim";"não";"não"
260400;"não";"não";"não"
260401;"sim";"não";"não"
260402;"não";"não";"não"
260403;"sim";"não";"não"
260404;"sim";"não";"não"
260405;"não";"sim";"não"
260406;"não";"não";"não"
260407;"não";"sim";"não"
260408;"não";"não";"não"
260409;"não";"não";"não"
260410;"não";"não";"não"
260411;"sim";"não";"não"
260412;"não";"não";"não"
260413;"não";"não";"não"
260414;"não";"não";"sim"
260415;"não";"não";"não"
260416;"não";"sim";"não"
260417;"não";"não";"não"
260418;"sim";"não";"não"
260419;"não";"sim";"não"
260420;"sim";"não";"não"
260421;"não";"não";"sim"
260422;"não";"sim";"não"
260423;"não";"sim";"não"
260424;"não";"não";"não"
260425;"não";"não";"não"
260426;"não";"não";"não"
260427;"não";"não";"não"
260429;"sim";"não";"não"
260430;"não";"não";"não"
260431;"sim";"sim";"não"
260433;"sim";"não";"não"
260434;"sim";"não";"não"
260435;"sim";"não";"não"
260436;"não";"não";"não"
260437;"sim";"não";"não"
260438;"não";"não";"não"
260439;"sim";"não";"não"
260440;"sim";"não";"não"
260441;"não";"não";"não"
260442;"sim";"não";"não"
260444;"não";"não";"não"
260445;"não";"não";"não"
260446;"não";"não";"não"
260447;"não";"não";"não"
260448;"não";"não";"não"
260449;"não";"não";"não"
260450;"não";"não";"não"
260451;"não";"não";"sim"
260454;"sim";"não";"não"
260455;"sim";"não";"não"
260456;"não";"não";"não"
260460;"não";"não";"não"
260464;"não";"sim";"não"
260467;"não";"não";"não"
260468;"não";"não";"não"
260469;"não";"não";"não"
260470;"não";"não";"não"
260472;"não";"não";"não"
260473;"não";"não";"não"
260474;"não";"não";"não"
260475;"não";"não";"não"
260477;"sim";"não";"não"
260478;"não";"sim";"não"
260480;"sim";"não";"não"
260481;"não";"sim";"não"
260482;"sim";"não";"não"
260483;"não";"não";"não"
260484;"não";"não";"não"
260485;"não";"não";"sim"
260486;"não";"não";"não"
260487;"não";"não";"não"
260488;"não";"sim";"não"
260489;"sim";"não";"não"
260490;"não";"sim";"não"
260491;"sim";"não";"não"
260492;"não";"não";"não"
260493;"não";"não";"não"
260494;"sim";"não";"não"
260495;"não";"sim";"não"
260496;"não";"sim";"não"
260497;"não";"sim";"não"
260498;"não";"não";"sim"
260499;"não";"não";"não"
260501;"não";"sim";"não"
260502;"não";"sim";"sim"
260503;"não";"sim";"não"
260504;"não";"não";"não"
260505;"sim";"não";"não"
260506;"não";"sim";"não"
260507;"não";"sim";"não"
260508;"sim";"sim";"não"
260509;"não";"não";"não"
260510;"sim";"não";"não"
260511;"não";"não";"não"
260512;"sim";"não";"não"
260513;"sim";"não";"não"
260515;"não";"não";"não"
260518;"não";"sim";"não"
260519;"não";"não";"não"
260520;"sim";"não";"não"
260521;"não";"sim";"não"
260522;"sim";"não";"não"
260523;"sim";"não";"não"
260524;"não";"sim";"não"
260525;"não";"não";"não"
260526;"não";"sim";"não"
260527;"não";"sim";"não"
260528;"não";"sim";"não"
260529;"sim";"não";"não"
260530;"não";"sim";"não"
260531;"não";"não";"não"
260532;"não";"não";"não"
260534;"sim";"não";"não"
260535;"sim";"sim";"não"
260536;"não";"não";"não"
260537;"sim";"não";"sim"
260538;"sim";"sim";"não"
260539;"sim";"não";"não"
260540;"sim";"não";"não"
260541;"sim";"não";"não"
260542;"não";"não";"não"
260543;"não";"não";"não"
260544;"sim";"não";"não"
260545;"não";"não";"não"
260547;"sim";"não";"não"
260548;"não";"não";"não"
260550;"não";"sim";"não"
260551;"sim";"não";"não"
260552;"sim";"não";"não"
260554;"não";"não";"não"
260556;"sim";"não";"não"
260557;"não";"não";"não"
260558;"não";"sim";"não"
260559;"não";"não";"não"
260561;"sim";"não";"não"
260562;"não";"não";"não"
260563;"sim";"não";"não"
260564;"não";"não";"não"
260565;"não";"não";"não"
260567;"sim";"não";"não"
260568;"não";"não";"não"
260569;"não";"não";"não"
260570;"não";"sim";"não"
260571;"não";"não";"não"
260572;"sim";"não";"não"
260574;"não";"não";"não"
260575;"sim";"não";"não"
260576;"não";"não";"não"
260577;"não";"não";"não"
260578;"não";"não";"não"
260579;"sim";"não";"não"
260581;"não";"sim";"não"
260582;"não";"não";"não"
260583;"sim";"não";"não"
260584;"não";"sim";"não"
260587;"não";"não";"não"
260588;"sim";"sim";"não"
260589;"não";"não";"não"
260590;"sim";"não";"não"
260591;"sim";"não";"não"
260592;"não";"não";"não"
260598;"não";"não";"não"
260599;"sim";"não";"não"
260600;"não";"sim";"não"
260603;"não";"não";"não"
260604;"sim";"não";"não"
260605;"não";"não";"não"
260606;"sim";"não";"não"
260610;"não";"não";"não"
260612;"não";"sim";"não"
260614;"não";"sim";"não"
260615;"não";"não";"não"
260616;"sim";"não";"não"
260617;"sim";"não";"não"
260618;"sim";"não";"não"
260619;"não";"não";"não"
260620;"sim";"não";"não"
260621;"sim";"não";"não"
260622;"não";"sim";"não"
260623;"sim";"não";"não"
260624;"sim";"não";"não"
260627;"sim";"sim";"não"
260628;"sim";"não";"não"
260629;"sim";"não";"não"
260631;"não";"não";"não"
260632;"sim";"não";"não"
260633;"não";"sim";"não"
260634;"não";"sim";"não"
260635;"sim";"não";"não"
260636;"não";"não";"não"
260637;"não";"não";"não"
260639;"sim";"não";"não"
260640;"não";"não";"não"
260641;"não";"não";"não"
260642;"não";"não";"não"
260644;"não";"não";"não"
260646;"não";"não";"não"
260647;"sim";"não";"não"
260648;"não";"sim";"não"
260649;"sim";"não";"não"
260650;"não";"não";"não"
260651;"não";"não";"não"
260652;"não";"sim";"não"
260653;"sim";"não";"não"
260655;"sim";"não";"não"
260656;"sim";"não";"não"
260657;"sim";"não";"não"
260659;"sim";"não";"não"
260661;"sim";"não";"não"
260662;"não";"não";"não"
260663;"sim";"não";"não"
260665;"não";"não";"não"
260666;"não";"não";"não"
260667;"não";"não";"não"
260668;"não";"não";"não"
260669;"não";"não";"não"
260670;"não";"não";"não"
260672;"sim";"não";"não"
260673;"sim";"não";"não"
260674;"sim";"não";"não"
260675;"não";"não";"não"
260677;"não";"não";"não"
260678;"sim";"não";"não"
260679;"sim";"não";"não"
260680;"não";"não";"não"
260681;"sim";"não";"não"
260682;"não";"não";"não"
260683;"sim";"não";"não"
260684;"não";"não";"não"
260685;"não";"não";"não"
260686;"não";"não";"não"
260687;"sim";"sim";"não"
260688;"sim";"não";"não"
260689;"sim";"não";"não"
260690;"não";"não";"não"
260691;"não";"sim";"não"
260692;"sim";"não";"não"
260693;"sim";"não";"não"
